"model";"vars";"clauses";"var_prob_time"
"blasted_case41";245;650;17.0609999999997
"s1196a_3_2";690;1805;419.598999999999
"s1196a_7_4";708;1881;159.982
"s1238a_3_2";686;1850;289.914999999999
"s1238a_7_4";704;1926;412.825000000001
"s1488_15_7";941;2783;24.2150000000001
"s1488_7_4";872;2499;32.2330000000002
"s820a_15_7";685;1987;2.95800000000054
"s820a_3_2";598;1627;0.731999999999971
"s820a_7_4";616;1703;2.35599999999977
"s832a_15_7";693;2017;19.4069999999992
"s832a_3_2";606;1657;1.57999999999993
"s832a_7_4";624;1733;2.61800000000039
"s838_15_7";685;1774;63.5419999999995
"s838_3_2";598;1414;27.5779999999995
"s838_7_4";616;1490;15.6949999999997
"s953a_3_2";515;1297;31.5879999999997
"s953a_7_4";533;1373;38.1589999999997
"tableBasedAddition.sk_240_1024";1026;961;0.26299999999901
"toybox";544;1020;0.132000000001426
"uClibc";298;903;0.299000000002707
